filename,number_lists,number_obs
usa-co-sloans_lake_park.RDS,144,2838
usa-co-washington_park.RDS,645,10946
usa-co-westerly_creek_park.RDS,450,8134
usa-co-zuni_and_51st_park.RDS,0,0
usa-fl-ad_barnes_park.RDS,1924,45279
usa-fl-amelia_earhart_park.RDS,24,722
usa-fl-arcola_lakes_park.RDS,0,0
usa-fl-benny_babcock_park.RDS,0,0
usa-fl-brain_piccolo_park.RDS,338,4222
usa-fl-devon_aire_park.RDS,0,0
usa-fl-everglades_golf_course.RDS,0,17
usa-fl-fairwood_park.RDS,0,0
usa-fl-gerry_curtis_park.RDS,0,1
usa-fl-hypoluxo_scrub_natural_area.RDS,38,679
usa-fl-little_haiti_park.RDS,0,0
usa-fl-martin_luther_king_park.RDS,0,0
usa-fl-melrose_park.RDS,0,0
usa-fl-morningside_park.RDS,14,231
usa-fl-olinda_park.RDS,0,0
usa-fl-pine_breeze_park.RDS,1,10
usa-fl-rockdale_pineland.RDS,47,670
usa-fl-simpson_park.RDS,11,74
usa-fl-soar_park.RDS,0,0
usa-fl-topeekeegee_yugnee_park.RDS,211,5796
usa-ga-candler_park.RDS,76,1257
usa-ga-oakland_cemetery.RDS,19,376
usa-il-barrie_park.RDS,0,0
usa-il-columbus_park.RDS,765,36441
usa-il-douglas_park.RDS,611,23407
usa-il-franklin_park.RDS,0,0
usa-il-graceland_cemetery.RDS,254,4495
usa-il-hamlin_park.RDS,0,0
usa-il-humboldt_park.RDS,731,25872
usa-il-indian_boundary_park.RDS,11,308
usa-il-longfellow_park.RDS,0,0
usa-il-roosevelt_park.RDS,1,20
usa-il-rosehill_cemetery.RDS,632,18467
usa-il-warren_park.RDS,18,366
usa-ma-boston_common.RDS,130,1857
usa-ma-boston_public_garden.RDS,782,26112
usa-ma-chestnut_hill_reservoir.RDS,1482,28783
usa-ma-cypress_street_playground.RDS,1,8
usa-ma-emerson_garden.RDS,2,10
usa-ma-foss_park.RDS,0,0
usa-ma-gallagher_memorial_park.RDS,167,4944
usa-ma-griggs_park.RDS,11,78
usa-ma-highland_park.RDS,0,8
usa-ma-joe_moakley_park.RDS,189,2200
usa-ma-longwood_playground.RDS,5,79
usa-ma-madison_park.RDS,3,12
usa-ma-mclaughlin_playground.RDS,151,4763
usa-ma-monument_square.RDS,4,44
usa-ma-tufts_park.RDS,230,2702
usa-ma-washington_malcom_x_park.RDS,11,133
usa-md-baltimore_cemetery.RDS,0,12
usa-md-belmar_park.RDS,1,3
usa-md-carroll_park.RDS,180,4028
usa-md-catonsville_park.RDS,18,340
usa-md-dewees_park.RDS,0,0
usa-md-easterwood_park.RDS,0,0
usa-md-greenmount_cemetery.RDS,14,135
usa-md-hanlon_park.RDS,254,6130
usa-md-harlem_park.RDS,0,0
usa-md-holt_park.RDS,339,11136
usa-md-jognston_square.RDS,0,0
usa-md-madison_square.RDS,0,0
usa-md-patterson_park.RDS,1226,49141
usa-md-riverside_park.RDS,12,208
usa-md-westview_recreation_area.RDS,2,33
usa-mo-benton_park.RDS,7,46
usa-mo-berra_park.RDS,1,3
usa-mo-carondelet_park.RDS,820,30717
usa-mo-clifton_park.RDS,0,8
usa-mo-compton_hill_reservoir_park.RDS,0,0
usa-mo-forest_park.RDS,1741,72815
usa-mo-fox_park.RDS,0,0
usa-mo-francis_park.RDS,3,28
usa-mo-lafayette_park.RDS,16,266
usa-mo-lindenwood_park.RDS,0,0
usa-mo-lyon_park.RDS,0,0
usa-mo-ray_leisure_playground_and_park.RDS,0,1
usa-mo-sublette_park.RDS,2,10
usa-mo-terry_park.RDS,0,0
usa-mo-tiffany_park.RDS,0,0
usa-mo-tilles_park.RDS,3,14
usa-ny-central_park.RDS,21141,836037
usa-ny-forte_greene_park.RDS,118,2731
usa-ny-greenwood_cemetery.RDS,1372,74080
usa-ny-marcus_garvey_memorial_park.RDS,6,120
usa-ny-prospect_park.RDS,4866,497577
usa-oh-glen_echo_park.RDS,629,17783
usa-oh-goodale_park.RDS,15,219
usa-oh-impet_park.RDS,0,0
usa-oh-osa_mirror_lake_and_browning_amphitheatre.RDS,433,9893
usa-oh-wheeler_park.RDS,0,0
usa-oh-woodland_cemetery.RDS,18,145
usa-pa-haddon_heights_park.RDS,0,1
usa-pa-roosevelt_park.RDS,764,24260
usa-pa-schenley_park.RDS,538,14722
usa-ri-amos_earley_park.RDS,0,0
usa-ri-davis_park.RDS,0,0
usa-ri-dexter_training_ground.RDS,0,0
usa-ri-johnson_and_wales_athletic_field.RDS,2,21
usa-ri-locust_grove_cemetery.RDS,0,0
usa-ri-merion_park.RDS,0,0
usa-ri-miantonomi_memorial_park.RDS,320,10162
usa-ri-north_burial_ground.RDS,6,97
usa-ri-sackett_street_park.RDS,0,0
usa-tx-antonio_marron_sr_park.RDS,1,27
usa-tx-baldwin_park.RDS,1,3
usa-tx-discovery_green.RDS,41,303
usa-tx-emancipation_park.RDS,1,3
usa-tx-exall_park.RDS,0,0
usa-tx-grauwyler_park.RDS,0,0
usa-tx-lindsley_park.RDS,0,1
usa-tx-parkwood_park.RDS,0,0
usa-tx-port_houston_park.RDS,0,0
usa-tx-reverchon_park.RDS,10,167
usa-tx-riverside_park.RDS,0,0
usa-tx-unknown_golf_course.RDS,0,6
usa-tx-woodlawn_cemetery.RDS,10,72
usa-ut-herman_l_franks_park.RDS,39,204
usa-ut-liberty_park.RDS,1080,27524
usa-wa-cal_anderson_park.RDS,3,58
usa-wa-cowen_park.RDS,2,12
usa-wa-cromwell_park.RDS,2,23
usa-wa-david_rodgers_park.RDS,33,504
usa-wa-denny_park.RDS,10,136
usa-wa-green_lake.RDS,1366,39733
usa-wa-green_lake_reservoir.RDS,1,9
usa-wa-hubbard_homestead_park.RDS,0,0
usa-wa-maple_leaf_reservoir_park.RDS,18,167
usa-wa-mayfair_park.RDS,19,168
usa-wa-meadowbrook_pond.RDS,343,5714
usa-wa-mount_pleasant_cemetery.RDS,21,277
usa-wa-northacres_park.RDS,4,43
usa-wa-parsons_gardens.RDS,98,1591
usa-wa-ravenna_park.RDS,720,12283
usa-wa-ronald_bog_park.RDS,4,75
usa-wa-thornton_creek_natural_area.RDS,0,0
usa-wa-west_queen_anne_playfield.RDS,0,4
usa-wa-woodland_park.RDS,30,530
usa-wa-woodland_park_zoo.RDS,78,3694
